+-----------------------------+------------+
|           Modules           | Parameters |
+-----------------------------+------------+
|     features.0.0.weight     |    864     |
|     features.0.1.weight     |     32     |
|      features.0.1.bias      |     32     |
|  features.1.conv.0.0.weight |    288     |
|  features.1.conv.0.1.weight |     32     |
|   features.1.conv.0.1.bias  |     32     |
|   features.1.conv.1.weight  |    512     |
|   features.1.conv.2.weight  |     16     |
|    features.1.conv.2.bias   |     16     |
|  features.2.conv.0.0.weight |    1536    |
|  features.2.conv.0.1.weight |     96     |
|   features.2.conv.0.1.bias  |     96     |
|  features.2.conv.1.0.weight |    864     |
|  features.2.conv.1.1.weight |     96     |
|   features.2.conv.1.1.bias  |     96     |
|   features.2.conv.2.weight  |    2304    |
|   features.2.conv.3.weight  |     24     |
|    features.2.conv.3.bias   |     24     |
|  features.3.conv.0.0.weight |    3456    |
|  features.3.conv.0.1.weight |    144     |
|   features.3.conv.0.1.bias  |    144     |
|  features.3.conv.1.0.weight |    1296    |
|  features.3.conv.1.1.weight |    144     |
|   features.3.conv.1.1.bias  |    144     |
|   features.3.conv.2.weight  |    3456    |
|   features.3.conv.3.weight  |     24     |
|    features.3.conv.3.bias   |     24     |
|  features.4.conv.0.0.weight |    3456    |
|  features.4.conv.0.1.weight |    144     |
|   features.4.conv.0.1.bias  |    144     |
|  features.4.conv.1.0.weight |    1296    |
|  features.4.conv.1.1.weight |    144     |
|   features.4.conv.1.1.bias  |    144     |
|   features.4.conv.2.weight  |    4608    |
|   features.4.conv.3.weight  |     32     |
|    features.4.conv.3.bias   |     32     |
|  features.5.conv.0.0.weight |    6144    |
|  features.5.conv.0.1.weight |    192     |
|   features.5.conv.0.1.bias  |    192     |
|  features.5.conv.1.0.weight |    1728    |
|  features.5.conv.1.1.weight |    192     |
|   features.5.conv.1.1.bias  |    192     |
|   features.5.conv.2.weight  |    6144    |
|   features.5.conv.3.weight  |     32     |
|    features.5.conv.3.bias   |     32     |
|  features.6.conv.0.0.weight |    6144    |
|  features.6.conv.0.1.weight |    192     |
|   features.6.conv.0.1.bias  |    192     |
|  features.6.conv.1.0.weight |    1728    |
|  features.6.conv.1.1.weight |    192     |
|   features.6.conv.1.1.bias  |    192     |
|   features.6.conv.2.weight  |    6144    |
|   features.6.conv.3.weight  |     32     |
|    features.6.conv.3.bias   |     32     |
|  features.7.conv.0.0.weight |    6144    |
|  features.7.conv.0.1.weight |    192     |
|   features.7.conv.0.1.bias  |    192     |
|  features.7.conv.1.0.weight |    1728    |
|  features.7.conv.1.1.weight |    192     |
|   features.7.conv.1.1.bias  |    192     |
|   features.7.conv.2.weight  |   12288    |
|   features.7.conv.3.weight  |     64     |
|    features.7.conv.3.bias   |     64     |
|  features.8.conv.0.0.weight |   24576    |
|  features.8.conv.0.1.weight |    384     |
|   features.8.conv.0.1.bias  |    384     |
|  features.8.conv.1.0.weight |    3456    |
|  features.8.conv.1.1.weight |    384     |
|   features.8.conv.1.1.bias  |    384     |
